epoch,reward,algorithm
62,7.787,Q Learning
63,7.812,Q Learning
64,8.017,Q Learning
65,8.004,Q Learning
66,8.017,Q Learning
67,7.832,Q Learning
68,7.857,Q Learning
69,8.084,Q Learning
70,8.158,Q Learning
71,8.086,Q Learning
72,7.953,Q Learning
73,7.948,Q Learning
74,8.058,Q Learning
75,7.907,Q Learning
76,8.013,Q Learning
77,7.928,Q Learning
78,7.951,Q Learning
79,7.864,Q Learning
80,7.929,Q Learning
81,7.952,Q Learning
82,7.984,Q Learning
83,8.056,Q Learning
84,7.993,Q Learning
85,7.927,Q Learning
86,8.027,Q Learning
87,8.004,Q Learning
88,7.964,Q Learning
89,7.942,Q Learning
90,7.742,Q Learning
91,7.852,Q Learning
92,8.002,Q Learning
93,7.881,Q Learning
94,7.935,Q Learning
95,7.867,Q Learning
96,7.812,Q Learning
97,7.839,Q Learning
98,7.727,Q Learning
99,7.996,Q Learning
