epoch,reward,delivered,quantile,trajectories,type,sample_count
26,-100.0,0,0.8,1000,Averaging,5
27,-100.0,0,0.8,1000,Averaging,5
28,-100.0,0,0.8,1000,Averaging,5
29,-100.0,0,0.8,1000,Averaging,5
30,-100.0,0,0.8,1000,Averaging,5
31,-100.0,0,0.8,1000,Averaging,5
32,-100.0,0,0.8,1000,Averaging,5
33,-100.0,0,0.8,1000,Averaging,5
34,-100.0,0,0.8,1000,Averaging,5
35,-100.0,0,0.8,1000,Averaging,5
36,-100.0,0,0.8,1000,Averaging,5
37,-100.0,0,0.8,1000,Averaging,5
38,-100.0,0,0.8,1000,Averaging,5
39,-100.0,0,0.8,1000,Averaging,5
40,-100.0,0,0.8,1000,Averaging,5
41,-100.0,0,0.8,1000,Averaging,5
42,-100.0,0,0.8,1000,Averaging,5
43,-100.0,0,0.8,1000,Averaging,5
44,-100.0,0,0.8,1000,Averaging,5
45,-100.0,0,0.8,1000,Averaging,5
46,-100.0,0,0.8,1000,Averaging,5
47,-100.0,0,0.8,1000,Averaging,5
48,-100.0,0,0.8,1000,Averaging,5
49,-100.0,0,0.8,1000,Averaging,5
50,-100.0,0,0.8,1000,Averaging,5
51,-100.0,0,0.8,1000,Averaging,5
52,-100.0,0,0.8,1000,Averaging,5
53,-100.0,0,0.8,1000,Averaging,5
54,-100.0,0,0.8,1000,Averaging,5
55,-100.0,0,0.8,1000,Averaging,5
56,-100.0,0,0.8,1000,Averaging,5
57,-100.0,0,0.8,1000,Averaging,5
58,-100.0,0,0.8,1000,Averaging,5
59,-100.0,0,0.8,1000,Averaging,5
60,-100.0,0,0.8,1000,Averaging,5
61,-100.0,0,0.8,1000,Averaging,5
62,-100.0,0,0.8,1000,Averaging,5
63,-100.0,0,0.8,1000,Averaging,5
64,-100.0,0,0.8,1000,Averaging,5
65,-100.0,0,0.8,1000,Averaging,5
66,-100.0,0,0.8,1000,Averaging,5
67,-100.0,0,0.8,1000,Averaging,5
68,-100.0,0,0.8,1000,Averaging,5
69,-100.0,0,0.8,1000,Averaging,5
70,-100.0,0,0.8,1000,Averaging,5
71,-100.0,0,0.8,1000,Averaging,5
72,-100.0,0,0.8,1000,Averaging,5
73,-100.0,0,0.8,1000,Averaging,5
74,-100.0,0,0.8,1000,Averaging,5
75,-100.0,0,0.8,1000,Averaging,5
76,-100.0,0,0.8,1000,Averaging,5
77,-100.0,0,0.8,1000,Averaging,5
78,-100.0,0,0.8,1000,Averaging,5
79,-100.0,0,0.8,1000,Averaging,5
80,-100.0,0,0.8,1000,Averaging,5
81,-100.0,0,0.8,1000,Averaging,5
82,-100.0,0,0.8,1000,Averaging,5
83,-100.0,0,0.8,1000,Averaging,5
84,-100.0,0,0.8,1000,Averaging,5
85,-100.0,0,0.8,1000,Averaging,5
86,-100.0,0,0.8,1000,Averaging,5
87,-100.0,0,0.8,1000,Averaging,5
88,-100.0,0,0.8,1000,Averaging,5
89,-100.0,0,0.8,1000,Averaging,5
90,-100.0,0,0.8,1000,Averaging,5
91,-100.0,0,0.8,1000,Averaging,5
92,-100.0,0,0.8,1000,Averaging,5
93,-100.0,0,0.8,1000,Averaging,5
94,-100.0,0,0.8,1000,Averaging,5
95,-100.0,0,0.8,1000,Averaging,5
96,-100.0,0,0.8,1000,Averaging,5
97,-100.0,0,0.8,1000,Averaging,5
98,-100.0,0,0.8,1000,Averaging,5
99,-100.0,0,0.8,1000,Averaging,5
0,-386.89,2,0.2,1000,Random start,5
1,-385.03,1,0.2,1000,Random start,5
2,-373.37,3,0.2,1000,Random start,5
3,-367.48,2,0.2,1000,Random start,5
4,-363.04,2,0.2,1000,Random start,5
5,-351.45,3,0.2,1000,Random start,5
6,-352.14,2,0.2,1000,Random start,5
7,-344.21,4,0.2,1000,Random start,5
8,-337.06,3,0.2,1000,Random start,5
9,-328.71,3,0.2,1000,Random start,5
10,-324.1,4,0.2,1000,Random start,5
11,-324.58,6,0.2,1000,Random start,5
12,-315.7,7,0.2,1000,Random start,5
13,-313.35,5,0.2,1000,Random start,5
14,-304.08,5,0.2,1000,Random start,5
15,-298.59,4,0.2,1000,Random start,5
16,-282.32,9,0.2,1000,Random start,5
17,-295.11,4,0.2,1000,Random start,5
18,-277.92,4,0.2,1000,Random start,5
19,-276.81,11,0.2,1000,Random start,5
20,-275.09,7,0.2,1000,Random start,5
21,-276.49,11,0.2,1000,Random start,5
22,-268.17,4,0.2,1000,Random start,5
23,-253.39,7,0.2,1000,Random start,5
24,-246.2,16,0.2,1000,Random start,5
25,-235.57,17,0.2,1000,Random start,5
26,-241.53,13,0.2,1000,Random start,5
27,-238.52,12,0.2,1000,Random start,5
28,-244.46,7,0.2,1000,Random start,5
29,-223.4,12,0.2,1000,Random start,5
30,-229.58,16,0.2,1000,Random start,5
31,-230.65,10,0.2,1000,Random start,5
32,-228.27,19,0.2,1000,Random start,5
33,-213.71,18,0.2,1000,Random start,5
34,-219.16,16,0.2,1000,Random start,5
35,-222.83,16,0.2,1000,Random start,5
36,-207.36,23,0.2,1000,Random start,5
37,-206.8,15,0.2,1000,Random start,5
